modelo,combustivel,ano,quilometragem,final de placa,carroceria,cor,ar condicionado,direcao,vidro eletrico,teto solar,alarme,rodas,retrovisores,computador de bordo
['CRV'],['Gasolina e álcool'],['2013/2013'],['149.000'],['8'],['Utilitário esportivo'],['Prata'],['sim'],['Direção hidráulica'],['sim'],['sim'],['sim'],['Rodas de liga leve'],[''],['nao']
['FIT'],['Gasolina e álcool'],['2015/2016'],['65.182'],['0'],['Hatchback'],['Cinza'],['sim'],['Direção hidráulica'],['sim'],['nao'],['sim'],['Rodas de liga leve'],['Retrovisores elétricos'],['Computador de bordo']
['COROLLA'],['Gasolina e elétrico'],['2020/2021'],['1.000'],['7'],['Sedã'],['Cinza'],['sim'],['Direção hidráulica'],['sim'],['nao'],['sim'],['Rodas de liga leve'],[''],['nao']
['SANDERO'],['Gasolina e álcool'],['2018/2019'],['59.000'],['5'],['Hatchback'],['Branco'],['sim'],['Direção hidráulica'],['sim'],['nao'],['sim'],['Rodas de liga leve'],[''],['nao']
['SANTA FÉ'],['Gasolina'],['2011/2012'],['172.940'],['3'],['Utilitário esportivo'],['Preto'],['sim'],['Direção hidráulica'],['sim'],['nao'],['sim'],['Rodas de liga leve'],[''],['nao']
['LOGAN'],['Gasolina e álcool'],['2019/2020'],['14.711'],['7'],['Sedã'],['Branco'],['sim'],['Direção hidráulica'],['sim'],['nao'],['sim'],[''],[''],['Computador de bordo']
['GLE 350'],['Diesel'],['2016/2016'],['44.040'],['5'],['Utilitário esportivo'],['Preto'],['sim'],[''],['nao'],['nao'],['sim'],['Rodas de liga leve'],[''],['nao']
['E-PACE'],['Gasolina'],['2018/2018'],['14.400'],['7'],['Utilitário esportivo'],['Cinza'],['sim'],[''],['sim'],['nao'],['sim'],['Rodas de liga leve'],['Retrovisores elétricos'],['Computador de bordo']
['CITY'],['Gasolina e álcool'],['2018/2018'],['71.262'],['1'],['Sedã'],['Branco'],['sim'],[''],['sim'],['nao'],['sim'],['Rodas de liga leve'],['Retrovisores elétricos'],['Computador de bordo']
['ECOSPORT'],['Gasolina e álcool'],['2016/2017'],['49.000'],['7'],['Utilitário esportivo'],['Prata'],['sim'],['Direção hidráulica'],['sim'],['nao'],['sim'],['Rodas de liga leve'],[''],['nao']
['AMAROK'],['Diesel'],['2018/2018'],['59.000'],['7'],['Picape'],['Branco'],['sim'],['Direção hidráulica'],['sim'],['nao'],['sim'],['Rodas de liga leve'],[''],['nao']
['C 180'],['Gasolina e álcool'],['2019/2020'],['600'],['3'],['Sedã'],['Cinza'],['sim'],[''],['sim'],['nao'],['nao'],['Rodas de liga leve'],['Retrovisores elétricos'],['Computador de bordo']
['GLC 250'],['Gasolina'],['2015/2016'],['57.000'],['9'],['Utilitário esportivo'],['Azul'],['sim'],[''],['nao'],['nao'],['nao'],['Rodas de liga leve'],[''],['nao']
['RS4'],['Gasolina'],['2019/2019'],['5.800'],['5'],['Perua/SW'],['Azul'],['nao'],[''],['nao'],['sim'],['nao'],['Rodas de liga leve'],['Retrovisores elétricos'],['nao']
['320i'],['Gasolina'],['2019/2020'],['17.000'],['5'],['Sedã'],['Preto'],['nao'],[''],['nao'],['sim'],['nao'],['Rodas de liga leve'],['Retrovisores elétricos'],['nao']
['M5'],['Gasolina'],['2019/2020'],['9.600'],['5'],['Sedã'],['Branco'],['nao'],[''],['sim'],['sim'],['nao'],['Rodas de liga leve'],['Retrovisores elétricos'],['nao']
['JETTA'],['Gasolina'],['2019/2019'],['18.390'],['7'],['Sedã'],['Prata'],['sim'],[''],['nao'],['sim'],['nao'],['Rodas de liga leve'],['Retrovisores elétricos'],['nao']
